,Brand_n_Model,Variant,Year,Kilometers,No_of_owners,Fuel,Price
0,Hyundai Creta 1.6 CRDi SX Plus,1.6 CRDi SX Plus,2017,"66,000 kms",First Owner,Diesel,11.5 Lakh*
1,Maruti Swift Vdi BSIII,Vdi BSIII,2008,"1,00,200 kms",Second Owner,Diesel,2.74 Lakh*
2,Mitsubishi Pajero Sport Select Plus 4X4 MT,Select Plus 4X4 MT,2014,"97,000 kms",First Owner,Diesel,13.95 Lakh*
3,Hyundai Creta 1.6 CRDi SX Plus,1.6 CRDi SX Plus,2017,"66,000 kms",First Owner,Diesel,11.5 Lakh*
4,Hyundai Elantra 1.6 SX Option,1.6 SX Option,2015,"1,00,200 kms",First Owner,Diesel,7.35 Lakh*
5,Volkswagen Vento 1.5 TDI Highline AT,1.5 TDI Highline AT,2016,"45,000 kms",First Owner,Diesel,9 Lakh*
6,Hyundai Verna 1.6 SX CRDI (O) AT,1.6 SX CRDI (O) AT,2012,"1,29,000 kms",Second Owner,Diesel,4.25 Lakh*
7,Hyundai Verna CRDi 1.6 SX Option,CRDi 1.6 SX Option,2019,"35,000 kms",First Owner,Diesel,12.5 Lakh*
8,Hyundai Creta 1.6 CRDi SX,1.6 CRDi SX,2016,"57,900 kms",First Owner,Diesel,9.75 Lakh*
9,Kia Seltos HTX IVT G,HTX IVT G,2019,"14,000 kms",First Owner,Petrol,14.9 Lakh*
10,Hyundai Grand i10 CRDi Magna,CRDi Magna,2014,"49,000 kms",First Owner,Diesel,4.3 Lakh*
11,Mahindra XUV500 W8 2WD,W8 2WD,2013,"87,000 kms",First Owner,Diesel,8.39 Lakh*
12,Mercedes-Benz E-Class E250 CDI Avantgrade,E250 CDI Avantgrade,2014,"18,000 kms",First Owner,Diesel,27 Lakh*
13,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"65,000 kms",Second Owner,Petrol,2.6 Lakh*
14,Maruti Omni MPI STD BSIV,MPI STD BSIV,2018,"1,800 kms",First Owner,Petrol,3.5 Lakh*
15,Chevrolet Beat Diesel LS,Diesel LS,2012,"80,000 kms",First Owner,Diesel,2.6 Lakh*
16,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Zeta DDiS 200 SH,2015,"1,00,300 kms",First Owner,Diesel,6.25 Lakh*
17,Honda WR-V i-DTEC VX,i-DTEC VX,2017,"46,000 kms",First Owner,Diesel,8.75 Lakh*
18,Maruti Ciaz ZDi,ZDi,2017,"89,568 kms",First Owner,Diesel,8 Lakh*
19,Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,2.4 VX MT 8S BSIV,2018,"40,000 kms",First Owner,Diesel,20.5 Lakh*
20,Maruti Swift Dzire Ldi BSIV,Ldi BSIV,2009,"1,12,500 kms",First Owner,Diesel,3.25 Lakh*
21,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2015,"85,910 kms",First Owner,Petrol,5.1 Lakh*
22,Maruti Swift 1.3 LXI,1.3 LXI,2005,"50,000 kms",Second Owner,Petrol,1.8 Lakh*
23,Maruti Wagon R VXI AMT Opt 1.2,VXI AMT Opt 1.2,2019,"38,000 kms",Second Owner,Petrol,4.7 Lakh*
24,Hyundai Grand i10 Asta,Asta,2014,"54,000 kms",Third Owner,Petrol,4.25 Lakh*
25,Hyundai i10 Asta,Asta,2011,"40,000 kms",Second Owner,Petrol,2.8 Lakh*
26,Maruti Baleno Sigma,Sigma,2016,"41,383 kms",First Owner,Petrol,5.25 Lakh*
27,Volkswagen Polo Petrol Comfortline 1.2L,Petrol Comfortline 1.2L,2013,"50,000 kms",First Owner,Petrol,4.4 Lakh*
28,Hyundai Santro Xing XO,XO,2006,"70,000 kms",First Owner,Petrol,1.53 Lakh*
29,Hyundai Xcent 1.2 VTVT SX,1.2 VTVT SX,2018,"15,000 kms",First Owner,Petrol,6.2 Lakh*
30,Ford EcoSport 1.5 Petrol Titanium,1.5 Petrol Titanium,2021,"2,500 kms",First Owner,Petrol,9.7 Lakh*
31,Honda City 1.5 S MT,1.5 S MT,2010,"1,00,000 kms",Second Owner,Petrol,4.05 Lakh*
32,Ford Fiesta 1.4 Duratorq ZXI,1.4 Duratorq ZXI,2013,"71,269 kms",First Owner,Diesel,3.2 Lakh*
33,Toyota Etios G,G,2013,"57,580 kms",First Owner,Petrol,4 Lakh*
34,Hyundai i20 Magna 1.4 CRDi,Magna 1.4 CRDi,2011,"53,595 kms",First Owner,Diesel,3.6 Lakh*
35,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2010,"66,687 kms",First Owner,Petrol,2.25 Lakh*
36,Maruti Swift VDI,VDI,2012,"1,20,000 kms",First Owner,Diesel,3.75 Lakh*
37,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"80,000 kms",Second Owner,Petrol,2.9 Lakh*
38,Skoda Laura Elegance 2.0 TDI CR MT,Elegance 2.0 TDI CR MT,2012,"91,000 kms",First Owner,Diesel,5.5 Lakh*
39,Honda WR-V i-VTEC VX,i-VTEC VX,2018,"17,000 kms",First Owner,Petrol,8.75 Lakh*
40,Honda WR-V i-VTEC VX,i-VTEC VX,2018,"17,000 kms",First Owner,Petrol,8.75 Lakh*
41,Maruti Swift Vdi BSIII,Vdi BSIII,2010,"1,00,000 kms",Second Owner,Diesel,2.8 Lakh*
42,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2017,"7,000 kms",Second Owner,Petrol,7.2 Lakh*
43,Honda City i VTEC CVT SV,i VTEC CVT SV,2016,"37,000 kms",First Owner,Petrol,7.75 Lakh*
44,Hyundai Verna VTVT 1.6 SX,VTVT 1.6 SX,2018,"14,800 kms",First Owner,Petrol,8.45 Lakh*
45,Ford Fiesta 1.4 Duratorq ZXI,1.4 Duratorq ZXI,2012,"98,447 kms",First Owner,Diesel,2.7 Lakh*
46,Tata Hexa XT,XT,2018,"70,000 kms",First Owner,Diesel,16 Lakh*
47,Honda Amaze S AT i-Vtech,S AT i-Vtech,2013,"90,293 kms",Second Owner,Petrol,4 Lakh*
