,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
0,Jeep,Compass,2017,"32,000 km",1st,Diesel,2.0 Sport,"₹ 12,95,000"
1,Toyota,Innova,2015,"227,000 km",1st,Diesel,2.5 Z Diesel 7 Seater,"₹ 13,38,000"
2,BMW,5 Series,2018,"26,500 km",1st,Diesel,520d Luxury Line,"₹ 53,00,000"
3,--,--,--,--,--,--,--,--
4,Bajaj,RE60,2017,"20,000 km",2nd,Petrol,Qute Petrol,"₹ 1,45,000"
5,Hyundai,i10,2012,"166,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 1,85,000"
6,Maruti Suzuki,Alto 800,2017,"48,000 km",1st,Petrol,2012-2016 VXI Airbag,"₹ 3,30,000"
7,Toyota,Innova Crysta,2021,0 km,--,Diesel,2.4 GX MT,"₹ 23,14,331"
8,--,--,--,--,--,--,--,₹ 999
9,Toyota,Fortuner,2012,"142,000 km",1st,Diesel,3.0 4x2 Automatic,"₹ 11,50,000"
10,BMW,X1,2017,"36,500 km",1st,Diesel,sDrive20d Expedition,"₹ 24,00,000"
11,Mercedes-Benz,CLA,2013,"100,000 km",1st,Diesel,200 CDI Sport,"₹ 15,00,000"
12,Volkswagen,Vento,2010,"74,000 km",--,Petrol,--,"₹ 3,20,000"
13,Toyota,Innova,2009,"245,000 km",2nd,Diesel,2.5 G (Diesel) 7-Seater,"₹ 5,80,000"
14,Hyundai,Accent,2006,"42,000 km",2nd,Petrol,GLS,"₹ 45,000"
15,Hyundai,Santro Xing,2008,"133,000 km",2nd,Petrol,GLS,"₹ 1,30,000"
16,Hyundai,i10,2012,"43,000 km",1st,Petrol,2007-2010 Era 1.1,"₹ 2,65,000"
17,--,--,2021,"123,456 km",--,--,--,"₹ 10,000"
18,Hyundai,i20,2013,"56,904 km",1st,Petrol,2012-2014 Sportz 1.2,"₹ 3,70,000"
19,Tata,Indigo Ecs,2014,"130,000 km",4th,Diesel,Others,"₹ 1,90,000"
20,Hyundai,Grand i10,2014,"46,316 km",1st,Petrol,1.2 Kappa Sportz Option,"₹ 4,50,000"
21,Maruti Suzuki,Swift Dzire,2018,"66,000 km",1st,Diesel,Swift Dzire Tour,"₹ 5,20,000"
22,Maruti Suzuki,Vitara Brezza,2017,"104,802 km",1st,Diesel,ZDi Plus,"₹ 8,85,000"
23,Hyundai,Venue,2019,"24,000 km",1st,Diesel,SX Opt Diesel,"₹ 11,75,000"
24,Toyota,Innova,2015,"72,000 km",1st,Diesel,2.5 GX (Diesel) 8 Seater BS IV,"₹ 8,25,000"
25,Mahindra,Xylo,2016,"76,900 km",1st,Diesel,H4 ABS,"₹ 6,25,000"
26,Honda,WR-V,2019,"27,730 km",1st,Petrol,i-VTEC VX,"₹ 8,75,000"
27,Mercedes-Benz,New C-Class,2015,"55,000 km",1st,Diesel,C 220 CDI Avantgarde,"₹ 24,49,000"
28,Hyundai,i10,2013,"82,000 km",2nd,Petrol,Era,"₹ 2,45,000"
29,Maruti Suzuki,Wagon R,2004,"59,000 km",1st,Petrol,LXI,"₹ 1,40,000"
30,Maruti Suzuki,Eeco,2011,"85,000 km",1st,Petrol,7 Seater Standard,"₹ 2,39,000"
31,Mahindra,Bolero,2012,"78,000 km",1st,Diesel,SLE,"₹ 4,45,000"
32,Maruti Suzuki,Swift,2012,"84,000 km",1st,Diesel,DDiS LDI,"₹ 3,71,000"
33,--,--,--,--,--,--,--,"₹ 2,00,00,000"
34,Maruti Suzuki,Wagon R 1.0,2018,"34,000 km",1st,Petrol,1.0 VXi,"₹ 4,55,000"
35,Toyota,Etios Liva,2012,"87,000 km",1st,Diesel,TRD Sportivo Diesel Ltd,"₹ 2,68,000"
36,Renault,Duster,2016,"103,000 km",2nd,Diesel,110PS Diesel RxL AMT,"₹ 7,80,000"
37,Hyundai,Grand i10,2017,"72,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 4,25,000"
38,Hyundai,EON,2014,"42,000 km",1st,Petrol,1.0 Era Plus,"₹ 2,40,000"
